word,part_of_speech,other_forms,approved_meaning,guidance,ste_examples,page
SOAK,v,"SOAKS, SOAKED, SOAKED",1. To put something into a liquid and keep it there until it is fully wet or soft 2. To stay in liquid until fully wet or soft.,,SOAK THE FILTER IN THE CLEANING SOLUTION FOR 4 HOURS. | THE COMPONENT MUST SOAK IN THE SOLUTION FOR A MINIMUM OF 2 HOURS.,2-1-S16
SOFT,adj,"SOFTER, SOFTEST","Flexible, not hard",,"RUB THE SURFACE WITH A SOFT, DRY CLOTH.",2-1-S16
SOLID,adj,,That has the properties of a solid,,THE RAILS ARE MADE FROM SOLID BARS.,2-1-S16
SOLID,n,,Material that is not a gas or a liquid,,APPLY HEAT SLOWLY TO THE SOLID TO MONITOR ITS MELTING POINT.,2-1-S16
SOLUTION,n,,1. A liquid that includes a dissolved material 2. The answer to a problem,,PREPARE THE SOLUTION IN A CONTAINER MADE OF CERAMIC MATERIAL. | THE TEAM'S WORK WAS IMPORTANT FOR THE SOLUTION OF THE TECHNICAL PROBLEM.,2-1-S17
SOME,adj,,Related to a quantity not specified,,SOME MODELS DO NOT HAVE THIS FUNCTION.,2-1-S17
SOME,pron,,Related to a quantity not specified,,"SOME MODELS HAVE THIS FUNCTION, BUT SOME DO NOT.",2-1-S17
SOMETHING,pron,,A thing that is not determined or specified,,"IF SOMETHING UNUSUAL OCCURS, DO THE NECESSARY CHECKS TO FIND THE CAUSE.",2-1-S17
SOUND,n,,Something that you can hear,,INCREASE THE VOLUME OF THE SOUND.,2-1-S17
SOURCE,n,,1. Something that supplies energy or data 2. The point where something starts,,THE SOLAR PANEL IS A SATISFACTORY SOURCE OF ENERGY. | FIND THE SOURCE OF THE LEAKAGE.,2-1-S18
SPACE,n,,"A distance, area, or volume",,PUT THE SEALANT INTO THE SPACE BEHIND THE FLANGE OF THE WATER INJECTOR.,2-1-S18
SPARK,n,,"A hot, bright particle of a material that burns",,DO NOT USE TEST EQUIPMENT THAT CAN CAUSE SPARKS.,2-1-S18
SPEAK,v,"SPEAKS, SPOKE, SPOKEN",To use a voice to make words,,SPEAK INTO THE MICROPHONE.,2-1-S18
SPECIAL,adj,,For a specified function,,TIGHTEN THE SPECIAL NUT.,2-1-S18
SPECIALLY,adv,,In a special manner,,THIS EXTRACTOR IS SPECIALLY MADE TO REMOVE THESE PINS.,2-1-S19
SPECIFIED,adj,,"Given in, identified in, or related to a specification, regulation, or procedure",,INFLATE THE TIRE WITH NITROGEN TO THE SPECIFIED PRESSURE.,2-1-S19
SPEED,n,,The rate of movement,,"ON THIS ROAD, THE MAXIMUM PERMITTED SPEED IS 30 MPH.",2-1-S19
SPHERICAL,adj,,That has the shape of a sphere,,THE ACCUMULATORS ARE SPHERICAL AND HAVE BLADDERS.,2-1-S19
SPILL,v,"SPILLS, SPILLED, SPILLED","To accidentally flow, or cause to flow, out of a container",,"IF THE ELECTROLYTE SPILLS, REMOVE IT IMMEDIATELY. | IF YOU SPILL THE ELECTROLYTE, REMOVE IT IMMEDIATELY.",2-1-S19
SPRAY,n,,A jet of very small drops of liquid,,THE SEALANT IS RESISTANT TO SALT SPRAY.,2-1-S20
SPRAY,v,"SPRAYS, SPRAYED, SPRAYED",To apply as a spray,,DO NOT SPRAY DISINFECTANTS DIRECTLY ONTO THE CARPETS OR INSTRUMENT PANELS.,2-1-S21
STABLE,adj,,That does not change or move,,MAKE SURE THAT THE TEMPERATURE INDICATIONS ARE STABLE.,2-1-S21
STANDARD,adj,,Related to equipment and procedures that are normally used,,"IN THIS PROCEDURE, USE STANDARD TOOLS.",2-1-S22
START,n,,The beginning of a movement or operation,,MOVEMENT CAN BE SLOW AT THE START.,2-1-S22
START,v,"STARTS, STARTED, STARTED",1. To begin a 2. To come into,"procedure, movement, or operation being, activity, or operation",START THE ENGINE. | MEASURE THE BEND RADIUS OF THE HOSE FROM THE POINT WHERE THE BEND STARTS.,2-1-S22
STAY,v,"STAYS, STAYED",To continue to be in a location or condition,No other verb forms.,MAKE SURE THAT THE ASSEMBLED PARTS STAY ALIGNED.,2-1-S23
STEP,n,,A specified part of a procedure,,DO STEPS 13 THRU 16 A MINIMUM OF THREE TIMES.,2-1-S23
STOP,v,"STOPS, STOPPED, STOPPED",1. To cause the end 2. To come to an end,"of a procedure, movement, or an operation","STOP THE ENGINE. | WHEN THE FLOW STOPS, REMOVE THE DRAIN HOSE.",2-1-S24
STOW,v,"STOWS, STOWED, STOWED",To move or cause to move into a specified position of storage.,,STOW THE LIFE VEST SAFELY BELOW THE PASSENGER SEAT. | MAKE SURE THAT THE THRUST REVERSER STOWS WHEN YOU PUSH THE QUADRANT CONTROL FORWARD.,2-1-S24
STRAIGHT,adj,"STRAIGHTER, STRAIGHTEST",Without curves or bends,,MAKE SURE THAT THE STRAIGHT PART OF THE RIGGING PIN IS SMOOTH.,2-1-S25
STRIP,n,,"A piece of material that is long and thin, but not wide",,PUT A STRIP OF ADHESIVE TAPE ALONG THE INSULATION BLANKET.,2-1-S25
STRIPE,n,,A line on a surface which is a different color,,THE FLAG HAS RED AND WHITE STRIPES.,2-1-S25
STRONG,adj,"STRONGER, STRONGEST","With much strength, power, or concentration",,"WHEN WINDS ARE STRONG, MOOR THE AIRCRAFT CAREFULLY.",2-1-S26
STRUCTURAL,adj,,Related to the structure,,THE CHASSIS IS A STRUCTURAL COMPONENT OF THE VEHICLE.,2-1-S26
STRUCTURALLY,adv,,Related to the structure,,THE LIST GIVES YOU STRUCTURALLY IMPORTANT ITEMS.,2-1-S26
STRUCTURE,n,,1. A construction 2. The arrangement of something,,ATTACH THE WIRES TO THE STRUCTURE. | THE INTRODUCTION GIVES YOU THE STRUCTURE OF THE MAINTENANCE MANUAL.,2-1-S26
SUBASSEMBLY,n,,An assembly that is a part of a larger assembly,,DO NOT CHANGE THE POSITION OF THE SUBASSEMBLIES.,2-1-S26
SUBSEQUENT,adj,,Following in an unspecified time or sequence,Use NEXT (adj) for the first occurrence that follows immediately in time or sequence.,A SUBSEQUENT REPAIR WILL BE FOR THE NEW CONFIGURATION ONLY. | DO THE NEXT INSPECTION.,2-1-S26
SUBSEQUENTLY,adv,,After an unspecified time,Use THEN (adv) for an occurrence that follows immediately in time or sequence.,"MAKE SURE THAT THE TOOL IS SUBSEQUENTLY AVAILABLE FOR THE INSTALLATION PROCEDURE. | LIFT THE COVER. | THEN, PULL THE HANDLE.",2-1-S27
SUBTRACT,v,"SUBTRACTS, SUBTRACTED, SUBTRACTED",To take from a number or quantity,,SUBTRACT COEFFICIENT “A” FROM THE INDICATION.,2-1-S27
SUCH,adj,such as,Of the same group FOR EXAMPLE,,"WHEN YOU DO WORK ON SUCH SYSTEMS, USE GOGGLES. | WHEN YOU REMOVE THE STUD, USE APPLICABLE TOOLS. | FOR EXAMPLE, USE A PLASTIC MALLET AND A PUNCH.",2-1-S28
SUDDEN,adj,,That occurs in a short time,,SUDDEN MOVEMENT CAN CAUSE DAMAGE TO THE LIMIT STOPS.,2-1-S28
SUDDENLY,adv,,In a sudden manner,,"IF THE TEMPERATURE INCREASES SUDDENLY, STOP THE ENGINE.",2-1-S28
SUFFICIENT,adj,,Not less (or more) than necessary,,ADJUST THE CLAMP UNTIL THERE IS SUFFICIENT FRICTION TO KEEP IT IN POSITION.,2-1-S28
SUFFICIENTLY,adv,,Not less (or more) than necessary,,"WHEN THE PAINT IS SUFFICIENTLY SOFT, REMOVE IT WITH A PLASTIC SPATULA.",2-1-S28
SUM,n,,The result when you add,,CALCULATE THE SUM OF THE LOADS FOR EACH AREA.,2-1-S29
SUPPLY,n,,Something that is supplied,,STOP THE ELECTRICAL POWER SUPPLY.,2-1-S29
SUPPLY,v,"SUPPLIES, SUPPLIED, SUPPLIED",1. To give something that is necessary 2. To make something available for use,,SUPPLY ELECTRICAL POWER TO THE AUXILIARY SYSTEM. | THE POWER UNIT SUPPLIES ELECTRICITY TO THE CONTROL SYSTEM.,2-1-S29
SURE,adj,,Certain,,"IF YOU ARE NOT SURE THAT A PART IS SERVICEABLE, DISCARD IT.",2-1-S29
SURFACE,n,,One or more of the faces of something,,"CLEAN THE SURFACE WITH A SOFT, DRY CLOTH.",2-1-S29
SWALLOW,v,"SWALLOWS, SWALLOWED, SWALLOWED",To take through the mouth and esophagus into the stomach,Use this word for safety instructions only.,"IF YOU SWALLOW NITRIC ACID, DO NOT CAUSE VOMITING. | GET MEDICAL AID IMMEDIATELY.",2-1-S30
SYMBOL,n,,"A written sign that identifies a quantity, operation, item, or condition",,"THE SPECIFICATION GIVES THE SYMBOLS FOR RELAYS, DIODES, AND OTHER PARTS OF THE SYSTEM.",2-1-S31
SYMMETRICAL,adj,,That has or is with symmetry,,MAKE SURE THAT THE POSITION OF THE PARTS IS SYMMETRICAL.,2-1-S31
SYMMETRICALLY,adv,,In a symmetrical manner,,THE ELEVATORS MUST MOVE SYMMETRICALLY.,2-1-S31
SYMPTOM,n,,A sign of a condition,,"IF THE SYMPTOMS OCCUR AGAIN, REMOVE THE UNIT.",2-1-S31
SYNCHRONIZED,adj,,1. That operates at the same time 2. That agrees with,,MAKE SURE THAT THE TWO ROTORS ARE SYNCHRONIZED. | MAKE SURE THAT THE TIMER IS SYNCHRONIZED WITH THE GPS CLOCK.,2-1-S32
SYSTEM,n,,An assembly of related parts to do a specified operation,,DO NOT FILL THE SYSTEM DIRECTLY FROM A HIGH-PRESSURE CYLINDER.,2-1-S32
TACKY,adj,,Sticky when you touch it,No other forms of this adjective,"WHEN THE COMPOUND IS TACKY, APPLY THE PATCH.",2-1-T1
TAG,v,"TAGS, TAGGED, TAGGED",To put a tag on,,"OPEN AND TAG THE CIRCUIT BREAKERS. | THEN, SAFETY THEM.",2-1-T1
TAP,v,"TAPS, TAPPED, TAPPED",To hit lightly and quickly,,TAP THE BOLT WITH A MALLET.,2-1-T1
TASK,n,,Assigned work or procedure,,EACH TASK HAS AN IDENTIFICATION LETTER.,2-1-T2
TELESCOPIC,adj,,Related to items that retract into each other,,INSTALL THE TELESCOPIC LENS IN THE CAMERA.,2-1-T2
TELL,v,"TELLS, TOLD, TOLD",To give an order or supply information,,PUT A WARNING NOTICE IN THE ENTRANCE TO TELL VISITORS ABOUT THE SAFETY PRECAUTIONS. | THE COMPUTER TELLS THE TECHNICIAN THE ERROR CODE.,2-1-T2
TEMPORARILY,adv,,In a temporary manner,,ATTACH THE COVER TEMPORARILY.,2-1-T2
TEMPORARY,adj,,"For a short time only, not permanent",,THIS INSTALLATION IS ONLY TEMPORARY.,2-1-T2
TERTIARY,adj,,Third in importance,,"THERE ARE THREE CLASSES OF STRUCTURE: PRIMARY, SECONDARY, AND TERTIARY.",2-1-T3
TEST,n,,The procedure where an object or system is operated to make sure that its performance and/or function is correct,,DISCONNECT ALL THE SYSTEMS WHICH ARE NOT NECESSARY FOR THE TEST.,2-1-T3
THAN,conj,,Function word that you use with comparative adjectives or adverbs,,MAKE SURE THAT THE TOTAL ANGLE IS SMALLER THAN 20 DEG. | CORROSION CAN OCCUR MORE EASILY IN THIS AREA THAN IN OTHER AREAS.,2-1-T3
THAT,conj,,Function word that starts a subordinate clause,"Refer to section 9, GR-1.",MAKE SURE THAT THE SURFACE IS CLEAN.,2-1-T3
THAT,pron,,Function word that shows the person or thing referred to,,EXAMINE THE UNIT TO SEE IF THAT IS THE PROBLEM.,2-1-T3
THE,art,,Function word: definite article,,REMOVE THE SEVEN FLEXIBLE HOSES.,2-1-T3
THEIR,adj,,Belonging to persons or things,,WRITE TO THE MANUFACTURERS FOR THEIR REPAIR SCHEMES.,2-1-T3
THEM,pron,,Function word that shows the persons or things referred to,,"IF THE SURFACES ARE DIRTY, CLEAN THEM.",2-1-T3
THEN,adv,,Immediately after in time or sequence,,"LIFT THE COVER. | THEN, PULL THE HANDLE.",2-1-T3
THERE,adv,,In that position,,"IF THE LABEL IS NOT THERE, ATTACH A NEW ONE.",2-1-T4
THERE,pron,,Function word that starts a sentence or a subordinate clause,,THERE ARE THREE MEASUREMENT POINTS ON THE DIAGRAM. | MAKE SURE THAT THERE ARE NO LOOSE OBJECTS.,2-1-T4
THESE,adj,,Refers to specified persons or things,,REMOVE THESE PARTS FROM THEIR RELATED BOXES.,2-1-T4
THESE,pron,,Function word that shows the persons or things referred to,,THESE ARE SPECIAL TOOLS.,2-1-T4
THEY,pron,,Function word that shows the persons or things referred to,,DENTS ARE NOT PERMITTED IF THEY PREVENT CORRECT OPERATION OF THE PARTS.,2-1-T4
THICK,adj,"THICKER, THICKEST",That has a specified or large thickness,,INSTALL A SHIM THAT IS 3.5 mm THICK. | APPLY A THICK LAYER OF GREASE ON THE BARE METAL.,2-1-T4
THICKNESS,n,,The smallest of the three dimensions,,THE THICKNESS OF THE PRIMER LAYER MUST BE BETWEEN 0.05 mm AND 0.06 mm.,2-1-T4
THIN,adj,"THINNER, THINNEST",That has a small thickness,,APPLY A THIN LAYER OF SEALING COMPOUND ON THE BARE METAL.,2-1-T5
THINK,v,"THINKS, THOUGHT, THOUGHT",To have an opinion,,"IF YOU THINK THAT THE WATER WILL FREEZE, ADD ANTIFREEZE.",2-1-T5
THIS,adj,,Refers to a specified person or thing,,DO THIS TEST AT FULL VOLTAGE.,2-1-T5
THIS,pron,,Function word that shows the person or thing referred to,"Refer to section 9, GR-4.",REFER TO THE FAULT ISOLATION TABLE. | THIS TELLS YOU THE PARTS TO REPLACE.,2-1-T5
THOSE,pron,,Function word that shows the persons or things referred to,,"WHEN YOU EXAMINE THE PARTS, DISCARD THOSE THAT ARE DAMAGED.",2-1-T5
THROUGH,adv,,Function word that shows movement into one end or side and out of the other,,"IF FUMES COME THROUGH, DO THE EMERGENCY PROCEDURE.",2-1-T5
THROUGH,prep,,Function word that shows movement into one end or side and out of the other,,MAKE SURE THAT THE FLUID THAT GOES THROUGH THE TUBE HAS NO BUBBLES.,2-1-T5
THRU,prep,,From a point in a sequence to another,,DO STEPS 4 THRU 10 AGAIN.,2-1-T6
THUS,adv,,For that reason,"For other meanings, use:","THIS BOILER CONTROLLER IS APPLICABLE TO ALL SYSTEMS. | THUS, IT CAN ALSO CONTROL THERMAL OIL HEATERS. | CALCULATE THE THICKNESS OF THE SHIM AS FOLLOWS: T=X-Y.",2-1-T6
TIGHT,adj,"TIGHTER, TIGHTEST",Not free,"For other meanings, use:",MAKE SURE THAT THE NUTS ARE TIGHT. | MAKE SURE THAT THE FUEL TANK IS SEALED. | MAKE SURE THAT THERE IS TENSION IN THE LOCKWIRE.,2-1-T6
TIGHTEN,v,"TIGHTENS, TIGHTENED, TIGHTENED",To cause to be tight,,TIGHTEN THE SCREWS.,2-1-T6
TIGHTLY,adv,,In a tight manner,,HOLD THE CYLINDER TIGHTLY.,2-1-T6
TILT,v,"TILTS, TILTED, TILTED",To move at an angle or to put something at an angle between the vertical and the horizontal,,"TO ALIGN THE BOLT, TILT IT TO THE LEFT SIDE. | IF THE SHAFT TILTS, STOP THE TEST PROCEDURE.",2-1-T7
TIME,n,,1. A duration that you can measure 2. An occurrence,,THE TIME BETWEEN CLICKS MUST BE 20 SECONDS. | DO STEP 2 THREE TIMES. | DO NOT TIGHTEN THE NUTS AT THIS TIME.,2-1-T7
TO,prep,,"Function word that shows: - The direction of, point of arrival or time, connection, result, cause - That the word that follows is an infinitive",,SET THE SWITCH TO “OFF”. | THIS VALUE IS EQUIVALENT TO THE MAXIMUM. | ATTACH THE UNIONS TO THE VALVE. | GET ACCESS TO THE SELECTOR VALVES. | TRY TO LIFT THE COVER MANUALLY.,2-1-T7
TOGETHER,adv,,In one group or position AT THE SAME TIME,"For other meanings, use:",USE TAPE TO ATTACH THE CABLES TOGETHER. | DISASSEMBLE THE BYPASS VALVE AND THE DUMP VALVE AT THE SAME TIME.,2-1-T8
TOLERANCE,n,,A permitted difference from a standard,,THE TOLERANCE IS PLUS OR MINUS 0.2 mm.,2-1-T8
TOO,adv,,More than is necessary or correct,,MAKE SURE THAT THE TEMPERATURE IS NOT TOO HIGH.,2-1-T8
TOOL,n,,An object used to make or do something,,REMOVE ALL TOOLS AND EQUIPMENT.,2-1-T8
TOP,adj,,That is uppermost,,A NUMBER IN THE TOP LEFT CORNER OF THE DISPLAY REFERS TO A RELATED PAGE.,2-1-T8
TOP,n,,The uppermost position,,THE VERTICAL STABILIZER IS INSTALLED ON THE TOP OF THE FUSELAGE TAIL SECTION.,2-1-T8
TORQUE,v,"TORQUES, TORQUED, TORQUED",To tighten to a specified torque,,TORQUE THE PLUG TO 6 Nm.,2-1-T8
TOTAL,adj,,All of,,THE TOTAL QUANTITY OF FUEL IN THE CENTER TANK IS 5000 lb.,2-1-T8
TOTAL,n,,The full quantity,,ADD THE VALUES. | THE TOTAL MUST NOT BE MORE THAN 15 mm.,2-1-T9
TOUCH,v,"TOUCHES, TOUCHED, TOUCHED",To be in contact,,MAKE SURE THAT THE LOCK NUT TOUCHES THE SPRING.,2-1-T9
TOW,v,"TOWS, TOWED, TOWED",To pull something along,,"BEFORE YOU TOW THE VEHICLE BACK TO ITS INITIAL POSITION, COMPLETE THE PROCEDURE",2-1-T9
TRANSMIT,v,"TRANSMITS, TRANSMITTED, TRANSMITTED",To send energy or a signal,,MAKE SURE THAT THE TRANSPONDER TRANSMITS THE SIGNAL CORRECTLY.,2-1-T10
TRANSPARENT,adj,,Easy to see through,,PUT A TRANSPARENT SHEET OF PLASTIC ON THE SURFACE.,2-1-T10
TRAVEL,n,,The movement of an item,,MAKE SURE THAT THE RANGE OF TRAVEL OF THE CONTROL SURFACES IS CLEAR.,2-1-T10
TRY,v,"TRIES, TRIED, TRIED",To make an effort to do something,,TRY TO MOVE THE CONTROL COLUMN.,2-1-T12
TUNE,v,"TUNES, TUNED, TUNED",To adjust equipment to the best performance,,TUNE ADF 1 TO A KNOWN FREQUENCY.,2-1-T12
TURN,n,,One full cycle of movement around an axis,,LET THE PRESSURE BECOME STABLE AFTER EACH TURN OF THE ADJUSTMENT SCREW.,2-1-T12
TURN,v,"TURNS, TURNED, TURNED",To move or cause to move around an axis or a point,,TURN THE CONTROL CLOCKWISE. | THE BEARING TURNS AT 1500 RPM.,2-1-T12
TWIST,v,"TWISTS, TWISTED, TWISTED",1. To use a force that turns something and causes a distortion 2. To turn or change shape as a result of torsion,,"DO NOT TWIST THE CABLES. | IF THE CABLE TWISTS, DISCONNECT THE TWO CONNECTORS.",2-1-T13
TYPE,n,,A specified group,,FIND THE TYPE AND DIMENSIONS OF THE DAMAGE.,2-1-T13
TYPICAL,adj,,That has the important qualities of a group,,THIS INSTALLATION PROCEDURE IS TYPICAL FOR THIS TYPE OF FASTENER. | Blank Page,2-1-T13
UNDEMANDED,adj,,That occurs without an apparent cause,,"IF YOU GET AN UNDEMANDED MOVEMENT, DO A TEST OF THE SYSTEM.",2-1-U1
UNFOLD,v,"UNFOLDS, UNFOLDED, UNFOLDED",To open or to straighten or to cause to open or to straighten from a folded position or condition,,UNFOLD THE SHEETING CAREFULLY. | MAKE SURE THAT THE INDICATOR LIGHT COMES ON WHEN THE BLADES UNFOLD.,2-1-U3
UNIT,n,,1. Equipment that does a function 2. A quantity that is a standard of measurement,,YOU CAN REPLACE A LARGE NUMBER OF UNITS DURING THIS REPAIR PROCEDURE. | THIS MANUAL USES SI UNITS.,2-1-U3
UNKNOWN,adj,,Not known,,DO NOT USE FUEL WITH UNKNOWN PROPERTIES.,2-1-U3
UNLESS,conj,,Except if,,DO NOT REMOVE THE ADAPTER FROM THE STABILIZER UNLESS A REPAIR IS NECESSARY.,2-1-U4
UNLOCK,v,"UNLOCKS, UNLOCKED, UNLOCKED",To release or become released from a locked condition,,"BEFORE YOU UNLOCK THE DOOR, MAKE SURE THAT THE CABIN DIFFERENTIAL PRESSURE IS ZERO. | IF THE LEVER UNLOCKS DURING THE TEST, SET THE LEVER TO THE LOCKED POSITION AGAIN.",2-1-U4
UNSATISFACTORILY,adv,,In an unsatisfactory manner,,"IF THE ELEVATORS OPERATE UNSATISFACTORILY, MOVE THE CONTROL COLUMN.",2-1-U5
UNSATISFACTORY,adj,,Not satisfactory,,"IF THE CONDITION OF THE FILTERS IS UNSATISFACTORY, REPLACE THEM.",2-1-U5
UNSERVICEABLE,adj,,Not fit for its purpose,,REPLACE THE UNSERVICEABLE BUSHINGS.,2-1-U5
UNTIL,conj,,Up to the time that,,MOVE THE LEVER UNTIL THE END OF THE LINK TOUCHES THE LOCK BAR.,2-1-U6
UNTIL,prep,,Up to the time of,,KEEP THE FIRE BOTTLE ARMED UNTIL THE END OF THE TEST.,2-1-U6
UNUSUAL,adj,,Not usual,,UNUSUAL LOADS CAN CAUSE TREAD SEPARATION IN THE TIRES.,2-1-U6
UNUSUALLY,adv,,In an unusual manner,,THE VALVE OPERATES WHEN THERE IS AN UNUSUALLY LARGE FLOW OF FLUID.,2-1-U6
UNWANTED,adj,,That must not be there,,"UNWANTED AIR GOES OUT THROUGH THE OVERFLOW PORT. | IF THE DRAIN HOLE IS BLOCKED, REMOVE THE UNWANTED MATERIAL.",2-1-U6
UNWIND,v,"UNWINDS, UNWOUND, UNWOUND",To remove or become removed from around an object,,"UNWIND THE CABLE. | IF THE HOSE UNWINDS TOO QUICKLY FROM THE REEL, STOP THE TEST.",2-1-U6
UP,adj,,In a position above,,MAKE SURE THAT THE ANCHOR IS UP.,2-1-U6
UP,adv,,To a position above,,"IF THE POINTER MOVES UP, DECREASE THE POWER.",2-1-U6
UP,prep,,To a position above,,LET THE SLEEVE MOVE UP THE GUIDE TUBE.,2-1-U6
UPSTREAM,adj,,In a direction opposite to the flow,,DISCONNECT THE UPSTREAM CONNECTION OF THE VALVE.,2-1-U7
UPSTREAM,adv,,In a direction opposite to the flow,,MOVE THE PROBE UPSTREAM AND MONITOR THE TEMPERATURE AGAIN.,2-1-U7
UPSTREAM OF,prep,,In a direction opposite to the flow,,DISCONNECT THE CONNECTION UPSTREAM OF THE VALVE.,2-1-U7
USE,v,"USES, USED, USED",To make something do its specified function,,"IN THIS STEP, USE AUXILIARY SCREWS. | USE A SPECIAL CONTAINER FOR STORAGE. | DURING THE CLEANING PROCEDURE, DO NOT USE HIGH PRESSURE.",2-1-U8
USUAL,adj,,That you use or that occurs most frequently,,"IF YOU DO NOT GET THE USUAL RESULTS, DO A SYSTEM TEST.",2-1-U8
USUALLY,adv,,In a usual manner,,"USUALLY, THE HYDRAULIC FLUID FLOWS INTO THE VALVE THROUGH PORT A.",2-1-U8
VALUE,n,,A quantity that is calculated or given,,MAKE SURE THAT THE VALUES AGREE WITH THE SPECIFIED TOLERANCES.,2-1-V1
VERTICAL,adj,,At 90 degrees to the horizon,,MEASURE THE VERTICAL DISTANCE BETWEEN THE TWO POINTS ON THE GRAPH.,2-1-V2
VERTICALLY,adv,,At 90 degrees to the horizon,,THE POINTER MOVES VERTICALLY ALONG THE SCALE.,2-1-V2
VERY,adv,,To a high degree,,ADD THE OIL VERY SLOWLY.,2-1-V2
VIBRATION,n,,Regular movement from a center position,,PRESSURE SURGES AND VIBRATION CAN CAUSE WEAR ON THE HOSES.,2-1-V3
VIEW,n,,The ability to see something,,MAKE SURE THAT YOU HAVE A SATISFACTORY VIEW OF ALL COMPONENTS.,2-1-V3
VISUAL,adj,,That you can see,,MAKE SURE THAT THE VISUAL INDICATOR SHOWS THE CORRECT VALUE.,2-1-V4
VISUALLY,adv,,With the eyes,,VISUALLY EXAMINE THE DUCT.,2-1-V4
VOICE,n,,The sound you make when you speak,,SPEAK INTO THE MICROPHONE IN YOUR USUAL VOICE.,2-1-V4
VOLUME,n,,1. The space that an object fills 2. How loud a sound is,,"MEASURE THE VOLUME OF THE OIL CAREFULLY. | TO ADJUST THE VOLUME, USE THE BUTTONS ON THE SIDE OF THE PHONE.",2-1-V4
WAIT,v,"WAITS, WAITED, WAITED",To stop doing something while another thing occurs.,,(1) IF THE STATUS OF THE FAULT IS “NOT CONFIRMED”: (a) OPEN THE APPLICABLE CIRCUIT BREAKER. (b) WAIT FOR 4 MINUTES. (c) DO THE BITE TEST.,2-1-W1
WALK,v,"WALKS, WALKED, WALKED",To move on foot from one location to a different location,,DO NOT WALK ON THIS AREA.,2-1-W1
WANT,v,"WANTS, WANTED, WANTED","To intend, to desire",,"RECORD THE NAME OF THE FILE THAT YOU WANT TO DOWNLOAD. | IF YOU WANT TO STOP THE PROCEDURE, RECORD THE NUMBER OF THE LAST COMPLETED STEP.",2-1-W1
WARM,adj,,Moderately hot,,"KEEP THE GASKETS IN A WARM, DRY AREA.",2-1-W1
WE,pron,,"The manufacturer, company, or organization that releases the documentation",Do not use this pronoun for other meanings.,WE DO NOT RECOMMEND OTHER ALTERNATIVES.,2-1-W2
WEAK,adj,"WEAKER, WEAKEST","With small strength, power, or concentration",,USE A WEAK CLEANING SOLUTION.,2-1-W2
WEAR,v,"WEARS, WORE, WORN",To become damaged by friction,"For other meanings, use:","THE CABLE CAN WEAR QUICKLY IN THIS POSITION. | DURING THE SOLDERING PROCEDURE, USE A PROTECTIVE SHIELD. | WHEN YOU USE THE SOLVENT, PUT ON PROTECTIVE CLOTHING.",2-1-W2
WEATHER,n,,"Conditions of the atmosphere: temperature, moisture, winds, and clouds",,STEP 2 IS APPLICABLE ONLY IF THE WEATHER IS WET.,2-1-W2
WEIGH,v,"WEIGHS, WEIGHED, WEIGHED",1. To measure the weight of something 2. To have a specified weight,,WEIGH THE TWO PARTS OF THE COMPOUND. | THE UNIT WEIGHS 20 kg.,2-1-W3
WEIGHT,n,,The force caused when gravity acts on the mass of an object,,THE BASIC WEIGHT OF THE UNIT DOES NOT INCLUDE THE PROTECTIVE COVERS.,2-1-W3
WET,adj,"WETTER, WETTEST","That has liquid on it, in it, or absorbed into it",,DRY THE WET SURFACES.,2-1-W3
WHEN,conj,,At the time that or during,,"WHEN THE PISTON MOVEMENT STOPS, MEASURE THE TRAVEL.",2-1-W3
WHERE,conj,,"At, to, or in which location",,CLEAN THE AREA WHERE YOU APPLIED THE SEALANT.,2-1-W3
WHICH,pron,,The thing or things that,,"EXAMINE THE EMERGENCY FUEL PUMP, WHICH IS ON THE LEFT SIDE.",2-1-W4
WHILE,conj,,At the same time,,"MAKE SURE THAT A PERSON HOLDS THE ITEM, WHILE YOU DISCONNECT IT.",2-1-W4
WHO,pron,,The person or personnel that,,"THE DECKHAND, WHO OPERATES THE REAR WINCH, MUST LOCK THE FIXTURE.",2-1-W4
WIDE,adj,"WIDER, WIDEST",That has a specified or large width,,"REPAIR ALL CRACKS THAT ARE WIDER THAN 0,05 mm.",2-1-W5
WIDTH,n,,"The smaller of two dimensions, the second- largest of three dimensions",,MEASURE THE WIDTH OF THE CRACK AT THE WIDEST POINT.,2-1-W5
WILL,v,,Auxiliary modal verb that shows simple future tense,No other verb forms.,WARNINGS AND CAUTIONS IN THIS MANUAL WILL HELP YOU TO DO THE WORK SAFELY AND CORRECTLY.,2-1-W5
WIND,v,"WINDS, WOUND, WOUND",To move around and around an object,,WIND THE TAPE ON THE REEL.,2-1-W5
WITH,prep,,"Function word that shows association or relationship, help or sharing, a means or instrument","Refer to section 9, GR-2.",ALIGN THE MARK WITH THE LONGITUDINAL AXIS. | ATTACH THE FLANGE (10) WITH THE FOUR BOLTS (15). | REMOVE THE VALVE (2) WITH THE EXTRACTOR.,2-1-W6
WITHOUT,prep,,Not with,,SMALL DAMAGE IS PERMITTED WITHOUT REPAIR. | REFER TO TABLE 1 FOR THE APPLICABLE LIMITS.,2-1-W6
WORK,n,,"That which you do when you use physical strength, or mental power",,DO THE WORK IN A CLEAN AREA.,2-1-W6
WRITE,v,"WRITES, WROTE, WRITTEN","To record data or information as words, letters, or symbols",,WRITE THE TEST DATE ON THE CERTIFICATE.,2-1-W7
